date,dish,quantity,time
2023-01-01,Strawberry Mojito,1,17:00
2023-01-01,Mango Smoothie,2,16:30
2023-01-01,Vegetable Taco,5,20:00
2023-01-01,Mango Smoothie,3,10:30
2023-01-01,Cheesy Blueberry Cake,5,18:30
2023-01-01,Vegetable Taco,5,15:15
2023-01-01,Cheesy Blueberry Cake,4,13:00
2023-01-01,Mango Smoothie,1,12:45
2023-01-01,Hazelnut Frappe,1,20:30
2023-01-01,Veg Wrap,1,10:00
2023-01-01,Chinese Noodles,2,09:30
2023-01-01,Cheesy Blueberry Cake,2,10:15
2023-01-01,Hazelnut Frappe,4,14:00
2023-01-01,Triple Chocolate Brownie,4,15:45
2023-01-01,Chinese Noodles,1,13:00
2023-01-02,Chinese Noodles,5,14:30
2023-01-02,Veg Wrap,5,10:30
2023-01-02,Veg Wrap,4,17:15
2023-01-02,Americano,3,11:30
2023-01-02,Americano,3,09:15
2023-01-03,Hazelnut Frappe,1,14:00
2023-01-03,Vegetable Taco,5,13:15
2023-01-03,Americano,4,13:15
2023-01-03,Vegetable Taco,4,17:30
2023-01-03,Strawberry Mojito,4,18:15
2023-01-03,Vegetable Taco,4,15:00
2023-01-03,Vegetable Taco,2,19:30
2023-01-03,Chinese Noodles,2,16:45
2023-01-03,Cheesy Blueberry Cake,3,14:45
2023-01-03,Hazelnut Frappe,3,17:15
2023-01-03,Triple Chocolate Brownie,4,11:30
2023-01-04,Triple Chocolate Brownie,1,19:30
2023-01-04,Strawberry Mojito,3,11:45
2023-01-04,Hazelnut Frappe,1,18:30
2023-01-04,Triple Chocolate Brownie,2,13:30
2023-01-04,Strawberry Mojito,4,20:00
2023-01-04,Triple Chocolate Brownie,1,15:30
2023-01-04,Cheesy Blueberry Cake,2,18:45
2023-01-04,Chinese Noodles,3,15:00
2023-01-04,Veg Wrap,5,20:00
2023-01-04,Hazelnut Frappe,4,13:15
2023-01-04,Hazelnut Frappe,1,12:45
2023-01-04,Hazelnut Frappe,3,18:30
2023-01-05,Vegetable Taco,3,11:15
2023-01-05,Americano,4,14:30
2023-01-05,Strawberry Mojito,3,15:00
2023-01-05,Mango Smoothie,3,16:45
2023-01-05,Americano,3,15:15
2023-01-05,Hazelnut Frappe,5,18:15
2023-01-05,Triple Chocolate Brownie,2,15:30
2023-01-05,Veg Wrap,4,19:00
2023-01-05,Strawberry Mojito,1,17:30
2023-01-05,Strawberry Mojito,4,15:15
2023-01-06,Hazelnut Frappe,1,16:00
2023-01-06,Chinese Noodles,3,13:45
2023-01-06,Chinese Noodles,3,15:45
2023-01-06,Triple Chocolate Brownie,3,13:30
2023-01-06,Veg Wrap,3,13:15
2023-01-07,Americano,2,14:30
2023-01-07,Strawberry Mojito,2,14:30
2023-01-07,Cheesy Blueberry Cake,2,17:00
2023-01-07,Hazelnut Frappe,1,13:15
2023-01-07,Vegetable Taco,4,17:15
2023-01-07,Cheesy Blueberry Cake,3,11:00
2023-01-07,Veg Wrap,2,18:30
2023-01-08,Americano,1,11:00
2023-01-08,Mango Smoothie,4,18:45
2023-01-08,Mango Smoothie,1,12:00
2023-01-08,Triple Chocolate Brownie,3,11:45
2023-01-08,Cheesy Blueberry Cake,1,20:30
2023-01-08,Americano,1,11:45
2023-01-08,Americano,5,11:30
2023-01-08,Americano,5,20:30
2023-01-08,Chinese Noodles,3,17:00
2023-01-08,Mango Smoothie,4,16:45
2023-01-08,Vegetable Taco,1,19:15
2023-01-08,Veg Wrap,4,19:45
2023-01-08,Strawberry Mojito,3,19:30
2023-01-08,Hazelnut Frappe,5,18:15
2023-01-08,Strawberry Mojito,3,18:30
2023-01-09,Chinese Noodles,1,18:30
2023-01-09,Hazelnut Frappe,1,12:45
2023-01-09,Mango Smoothie,3,19:30
